B19_nasal_ax_groin	A04_lesion	D27_nasal_ax_groin	D04_nasal_ax_groin	C10_nasal_ax_groin	A29_nasal_ax_groin	D06_nasal_ax_groin	C02_nasal_ax_groin	D23_nasal_ax_groin	C09_nasal_ax_groin	A09_lesion	A06_nasal_ax_groin	D09_nasal_ax_groin	C29_nasal_ax_groin	A07_lesion	A11_nasal_ax_groin	A03_lesion	A23_nasal_ax_groin	B18_nasal_ax_groin	D17_nasal_ax_groin	C17_nasal_ax_groin	C25_nasal_ax_groin	A12_nasal_ax_groin	A17_nasal_ax_groin	A06_lesion	C15_nasal_ax_groin	D24_nasal_ax_groin	B07_nasal_ax_groin	D02_nasal_ax_groin	B17_nasal_ax_groin	A13_lesion	B08_nasal_ax_groin	C12_nasal_ax_groin	A05_lesion	A17_lesion	A10_nasal_ax_groin	D30_nasal_ax_groin	A24_nasal_ax_groin	B11_nasal_ax_groin	D11_nasal_ax_groin	C30_nasal_ax_groin	C08_nasal_ax_groin	B15_nasal_ax_groin	A25_nasal_ax_groin	D22_nasal_ax_groin	A08_lesion	A15_nasal_ax_groin	A01_nasal_ax_groin	A08_nasal_ax_groin	A07_nasal_ax_groin	C18_nasal_ax_groin	A18_nasal_ax_groin
A11_nasal_ax_groin 0.00557720 0.00574074 0.00542239 0.00564366 0.00856107 0.00564764 0.00566053 0.00811413 0.00576281 0.00565526 0.00565034 0.00556868 0.00779711 0.00786665 0.00571576 0 0.00556523 0.00572895 0.00569730 0.00564540 0.00546342 0.00585870 0.00003581 0.00583271 0.00567747 0.00754261 0.00557941 0.00542966 0.00561138 0.00571327 0.00745679 0.00549510 0.00546937 0.00562439 0.00588154 0.00788241 0.00556451 0.00549364 0.00001067 0.00006963 0.00858641 0.00004127 0.00558920 0.00570592 0.00569664 0.00536035 0.00741667 0.00556470 0.00555367 0.00553677 0.00563767 0.00568060
A03_lesion 0.00008731 0.00322767 0.00023341 0.00311484 0.00888275 0.00011697 0.00316256 0.00835003 0.00325393 0.00344401 0.00334847 0.00009844 0.00813107 0.00790475 0.00319104 0.00556523 0 0.00312365 0.00323907 0.00339761 0.00357442 0.00277009 0.00533160 0.00280661 0.00335670 0.00723007 0.00339389 0.00309371 0.00273600 0.00277309 0.00778137 0.00000593 0.00355853 0.00009191 0.00283649 0.00810345 0.00316857 0.00329615 0.00530138 0.00554471 0.00873518 0.00527890 0.00302036 0.00322229 0.00314243 0.00001213 0.00702533 0.00353357 0.00000734 0.00349522 0.00308970 0.00323324
A23_nasal_ax_groin 0.00312614 0.00340225 0.00311036 0.00009510 0.00904070 0.00315927 0.00330514 0.00854423 0.00325146 0.00362140 0.00334586 0.00313651 0.00817649 0.00828096 0.00333722 0.00572895 0.00312365 0 0.00326454 0.00340191 0.00351339 0.00338223 0.00547960 0.00343598 0.00336107 0.00726955 0.00359234 0.00323123 0.00331615 0.00339326 0.00783483 0.00307043 0.00348396 0.00319558 0.00346156 0.00824881 0.00329122 0.00348146 0.00536905 0.00569175 0.00882852 0.00551621 0.00010273 0.00338138 0.00005767 0.00305808 0.00707913 0.00358388 0.00310051 0.00366313 0.00006469 0.00324551
B18_nasal_ax_groin 0.00317035 0.00336522 0.00319464 0.00320926 0.00877183 0.00321941 0.00335987 0.00827891 0.00031158 0.00354834 0.00330011 0.00320226 0.00799739 0.00805397 0.00338078 0.00569730 0.00323907 0.00326454 0 0.00326982 0.00354731 0.00339801 0.00544706 0.00339439 0.00332924 0.00714414 0.00352706 0.00329252 0.00333291 0.00334271 0.00773820 0.00318351 0.00356301 0.00321749 0.00340356 0.00815026 0.00336254 0.00339811 0.00540681 0.00563924 0.00865995 0.00540212 0.00314363 0.00339379 0.00323606 0.00316350 0.00699112 0.00352821 0.00319466 0.00360827 0.00321860 0.00001017
D17_nasal_ax_groin 0.00337015 0.00256136 0.00341447 0.00334278 0.00862150 0.00340027 0.00255026 0.00823966 0.00330980 0.00347444 0.00327453 0.00341307 0.00794913 0.00803752 0.00256823 0.00564540 0.00339761 0.00340191 0.00326982 0 0.00344236 0.00343526 0.00542778 0.00341350 0.00329004 0.00706582 0.00348476 0.00252762 0.00336919 0.00339514 0.00766572 0.00337163 0.00347541 0.00338709 0.00343660 0.00802106 0.00260705 0.00322734 0.00536756 0.00553793 0.00858060 0.00538511 0.00330721 0.00259492 0.00338645 0.00333680 0.00689774 0.00348652 0.00339295 0.00348087 0.00335065 0.00328070
C17_nasal_ax_groin 0.00355039 0.00346656 0.00358277 0.00347009 0.00856416 0.00358114 0.00344048 0.00829040 0.00359461 0.00342948 0.00350954 0.00357355 0.00786651 0.00788487 0.00345894 0.00546342 0.00357442 0.00351339 0.00354731 0.00344236 0 0.00355186 0.00536723 0.00354890 0.00350631 0.00701014 0.00344411 0.00340443 0.00351540 0.00353818 0.00765214 0.00353798 0.00008211 0.00356992 0.00356945 0.00789845 0.00347495 0.00356519 0.00533500 0.00547730 0.00847243 0.00535002 0.00342362 0.00348491 0.00350262 0.00355282 0.00680855 0.00366222 0.00356970 0.00346791 0.00347392 0.00354696
C25_nasal_ax_groin 0.00273534 0.00333905 0.00272269 0.00332080 0.00917387 0.00275846 0.00325312 0.00863914 0.00343176 0.00351294 0.00336366 0.00274328 0.00834651 0.00841079 0.00328140 0.00585870 0.00277009 0.00338223 0.00339801 0.00343526 0.00355186 0 0.00560240 0.00019268 0.00337810 0.00729375 0.00353138 0.00315962 0.00015141 0.00020086 0.00801815 0.00273302 0.00353732 0.00278853 0.00018895 0.00837448 0.00326475 0.00329839 0.00555375 0.00577253 0.00889633 0.00554457 0.00327265 0.00327608 0.00338567 0.00270322 0.00718973 0.00356162 0.00273776 0.00356032 0.00334540 0.00336179
A12_nasal_ax_groin 0.00530821 0.00546531 0.00532548 0.00543971 0.00813721 0.00534234 0.00544737 0.00796771 0.00547869 0.00548327 0.00540860 0.00528602 0.00744785 0.00742377 0.00547007 0.00003581 0.00533160 0.00547960 0.00544706 0.00542778 0.00536723 0.00560240 0 0.00558794 0.00544068 0.00722552 0.00544475 0.00535207 0.00550953 0.00553870 0.00728253 0.00527141 0.00534092 0.00532328 0.00563444 0.00747014 0.00538845 0.00535605 0.00004075 0.00006625 0.00819528 0.00003756 0.00538033 0.00549265 0.00548877 0.00527153 0.00703782 0.00535816 0.00530022 0.00550809 0.00544441 0.00544679
A17_nasal_ax_groin 0.00275662 0.00331137 0.00275128 0.00337731 0.00907528 0.00282489 0.00326784 0.00865053 0.00343934 0.00351535 0.00337752 0.00277359 0.00832149 0.00833188 0.00331355 0.00583271 0.00280661 0.00343598 0.00339439 0.00341350 0.00354890 0.00019268 0.00558794 0 0.00342256 0.00732746 0.00350265 0.00321938 0.00018291 0.00002536 0.00804691 0.00272774 0.00352143 0.00279322 0.00000692 0.00837061 0.00332282 0.00330229 0.00552528 0.00578642 0.00899632 0.00554318 0.00334115 0.00331465 0.00341936 0.00272244 0.00718084 0.00355737 0.00276625 0.00358401 0.00338317 0.00338172
A06_lesion 0.00330489 0.00341603 0.00328413 0.00329815 0.00879896 0.00338015 0.00332373 0.00831613 0.00339006 0.00362138 0.00028074 0.00333187 0.00811637 0.00816674 0.00332157 0.00567747 0.00335670 0.00336107 0.00332924 0.00329004 0.00350631 0.00337810 0.00544068 0.00342256 0 0.00724421 0.00358151 0.00323272 0.00330983 0.00336939 0.00775788 0.00326060 0.00355349 0.00335040 0.00345250 0.00807506 0.00332178 0.00325685 0.00538270 0.00563901 0.00872689 0.00537214 0.00324871 0.00334928 0.00334947 0.00324872 0.00711565 0.00352406 0.00331479 0.00369103 0.00331386 0.00331235
C15_nasal_ax_groin 0.00716365 0.00721722 0.00698812 0.00717106 0.00800459 0.00718703 0.00708847 0.00774595 0.00720685 0.00702024 0.00726020 0.00720375 0.00729661 0.00738375 0.00717519 0.00754261 0.00723007 0.00726955 0.00714414 0.00706582 0.00701014 0.00729375 0.00722552 0.00732746 0.00724421 0 0.00696046 0.00684083 0.00712460 0.00725653 0.00693944 0.00711640 0.00699529 0.00720830 0.00735717 0.00733907 0.00707343 0.00699922 0.00718768 0.00751241 0.00806678 0.00713963 0.00702340 0.00716538 0.00732049 0.00694330 0.00423987 0.00717253 0.00717723 0.00729016 0.00716889 0.00714124
D24_nasal_ax_groin 0.00336685 0.00341963 0.00340466 0.00352183 0.00855524 0.00337750 0.00334265 0.00835056 0.00350556 0.00013297 0.00356762 0.00338849 0.00784204 0.00790760 0.00336169 0.00557941 0.00339389 0.00359234 0.00352706 0.00348476 0.00344411 0.00353138 0.00544475 0.00350265 0.00358151 0.00696046 0 0.00331023 0.00349268 0.00348558 0.00766737 0.00335847 0.00340106 0.00340377 0.00353204 0.00789233 0.00336347 0.00342651 0.00533326 0.00549028 0.00843403 0.00537421 0.00346253 0.00338686 0.00354840 0.00336258 0.00684359 0.00354880 0.00338268 0.00004401 0.00351890 0.00351855
B07_nasal_ax_groin 0.00309237 0.00015392 0.00315145 0.00325744 0.00845092 0.00311654 0.00019089 0.00821664 0.00329986 0.00333409 0.00328361 0.00309921 0.00773490 0.00773719 0.00001803 0.00542966 0.00309371 0.00323123 0.00329252 0.00252762 0.00340443 0.00315962 0.00535207 0.00321938 0.00323272 0.00684083 0.00331023 0 0.00322031 0.00319484 0.00746604 0.00306373 0.00340481 0.00312018 0.00322526 0.00774988 0.00014401 0.00307590 0.00532405 0.00546523 0.00830326 0.00527727 0.00323026 0.00016417 0.00322583 0.00310100 0.00676151 0.00346520 0.00309384 0.00334445 0.00320993 0.00327667
D02_nasal_ax_groin 0.00272938 0.00328474 0.00276088 0.00329457 0.00879842 0.00276192 0.00323477 0.00859494 0.00335651 0.00351200 0.00329247 0.00274339 0.00808619 0.00815426 0.00326917 0.00561138 0.00273600 0.00331615 0.00333291 0.00336919 0.00351540 0.00015141 0.00550953 0.00018291 0.00330983 0.00712460 0.00349268 0.00322031 0 0.00018574 0.00793527 0.00270485 0.00351873 0.00274516 0.00018118 0.00809051 0.00328420 0.00325349 0.00551395 0.00562178 0.00882995 0.00544986 0.00330559 0.00327126 0.00330925 0.00271284 0.00696921 0.00348792 0.00272862 0.00352687 0.00329233 0.00332120
B17_nasal_ax_groin 0.00273601 0.00330838 0.00274135 0.00333689 0.00901680 0.00279928 0.00324932 0.00856363 0.00338357 0.00349560 0.00336118 0.00277485 0.00823861 0.00827524 0.00330298 0.00571327 0.00277309 0.00339326 0.00334271 0.00339514 0.00353818 0.00020086 0.00553870 0.00002536 0.00336939 0.00725653 0.00348558 0.00319484 0.00018574 0 0.00792279 0.00271104 0.00350957 0.00275246 0.00002405 0.00824792 0.00328127 0.00328113 0.00546067 0.00573547 0.00888381 0.00545821 0.00329979 0.00329217 0.00337713 0.00270510 0.00708578 0.00355122 0.00274520 0.00354977 0.00334580 0.00334080
A13_lesion 0.00767458 0.00758346 0.00773343 0.00783236 0.00713242 0.00775158 0.00763871 0.00714252 0.00778329 0.00767353 0.00774315 0.00768579 0.00017494 0.00022381 0.00765309 0.00745679 0.00778137 0.00783483 0.00773820 0.00766572 0.00765214 0.00801815 0.00728253 0.00804691 0.00775788 0.00693944 0.00766737 0.00746604 0.00793527 0.00792279 0 0.00769953 0.00765822 0.00774989 0.00809011 0.00012055 0.00768625 0.00773607 0.00726840 0.00744070 0.00720702 0.00719692 0.00769876 0.00773074 0.00782024 0.00766764 0.00686567 0.00760170 0.00773500 0.00774338 0.00776329 0.00768085
B08_nasal_ax_groin 0.00008591 0.00316289 0.00023199 0.00306831 0.00856168 0.00011499 0.00310156 0.00828616 0.00320751 0.00338522 0.00327145 0.00009768 0.00789841 0.00794626 0.00312314 0.00549510 0.00000593 0.00307043 0.00318351 0.00337163 0.00353798 0.00273302 0.00527141 0.00272774 0.00326060 0.00711640 0.00335847 0.00306373 0.00270485 0.00271104 0.00769953 0 0.00351745 0.00009251 0.00275061 0.00805044 0.00313931 0.00323662 0.00525300 0.00538803 0.00846392 0.00524097 0.00298154 0.00317124 0.00304531 0.00001187 0.00684533 0.00344972 0.00001005 0.00342074 0.00304525 0.00318883
C12_nasal_ax_groin 0.00351390 0.00346248 0.00355703 0.00345885 0.00853386 0.00355247 0.00344416 0.00834085 0.00361037 0.00342829 0.00355353 0.00355009 0.00787426 0.00797329 0.00345540 0.00546937 0.00355853 0.00348396 0.00356301 0.00347541 0.00008211 0.00353732 0.00534092 0.00352143 0.00355349 0.00699529 0.00340106 0.00340481 0.00351873 0.00350957 0.00765822 0.00351745 0 0.00354428 0.00353475 0.00798605 0.00345202 0.00351028 0.00532544 0.00546972 0.00849230 0.00533912 0.00343267 0.00347210 0.00346606 0.00351675 0.00686884 0.00366810 0.00355747 0.00341706 0.00343991 0.00355403
A05_lesion 0.00010633 0.00319760 0.00023379 0.00315145 0.00880752 0.00012623 0.00318113 0.00835150 0.00323718 0.00348330 0.00335697 0.00010344 0.00813373 0.00828352 0.00321959 0.00562439 0.00009191 0.00319558 0.00321749 0.00338709 0.00356992 0.00278853 0.00532328 0.00279322 0.00335040 0.00720830 0.00340377 0.00312018 0.00274516 0.00275246 0.00774989 0.00009251 0.00354428 0 0.00279864 0.00823888 0.00321490 0.00333073 0.00530436 0.00563507 0.00879744 0.00530114 0.00307528 0.00322138 0.00321173 0.00008927 0.00704036 0.00355068 0.00009352 0.00348340 0.00317157 0.00321464
A17_lesion 0.00277153 0.00335580 0.00276481 0.00340543 0.00912972 0.00285016 0.00330645 0.00870284 0.00345497 0.00354400 0.00342587 0.00278940 0.00840201 0.00840176 0.00334186 0.00588154 0.00283649 0.00346156 0.00340356 0.00343660 0.00356945 0.00018895 0.00563444 0.00000692 0.00345250 0.00735717 0.00353204 0.00322526 0.00018118 0.00002405 0.00809011 0.00275061 0.00353475 0.00279864 0 0.00843839 0.00334781 0.00333910 0.00555762 0.00585606 0.00908391 0.00555492 0.00336785 0.00334860 0.00345366 0.00273757 0.00723426 0.00358568 0.00278819 0.00359520 0.00341052 0.00339822
A10_nasal_ax_groin 0.00811903 0.00828975 0.00790673 0.00822421 0.00740618 0.00814884 0.00808857 0.00722980 0.00811048 0.00796996 0.00811410 0.00818743 0.00010395 0.00010729 0.00816215 0.00788241 0.00810345 0.00824881 0.00815026 0.00802106 0.00789845 0.00837448 0.00747014 0.00837061 0.00807506 0.00733907 0.00789233 0.00774988 0.00809051 0.00824792 0.00012055 0.00805044 0.00798605 0.00823888 0.00843839 0 0.00798973 0.00805362 0.00745117 0.00775151 0.00750670 0.00738308 0.00794739 0.00816052 0.00832346 0.00782959 0.00722383 0.00785559 0.00809307 0.00819740 0.00808078 0.00805886
D30_nasal_ax_groin 0.00316438 0.00015478 0.00320181 0.00327478 0.00875195 0.00320312 0.00015313 0.00841666 0.00338862 0.00343126 0.00333880 0.00317824 0.00799184 0.00801620 0.00013294 0.00556451 0.00316857 0.00329122 0.00336254 0.00260705 0.00347495 0.00326475 0.00538845 0.00332282 0.00332178 0.00707343 0.00336347 0.00014401 0.00328420 0.00328127 0.00768625 0.00313931 0.00345202 0.00321490 0.00334781 0.00798973 0 0.00313146 0.00533870 0.00555924 0.00863605 0.00534072 0.00324180 0.00017181 0.00329820 0.00313629 0.00694642 0.00353773 0.00316262 0.00345128 0.00328209 0.00336477
A24_nasal_ax_groin 0.00327533 0.00319433 0.00323595 0.00339496 0.00871347 0.00326877 0.00310547 0.00835519 0.00336486 0.00343127 0.00323806 0.00327940 0.00800343 0.00808006 0.00313764 0.00549364 0.00329615 0.00348146 0.00339811 0.00322734 0.00356519 0.00329839 0.00535605 0.00330229 0.00325685 0.00699922 0.00342651 0.00307590 0.00325349 0.00328113 0.00773607 0.00323662 0.00351028 0.00333073 0.00333910 0.00805362 0.00313146 0 0.00528735 0.00546458 0.00855301 0.00537582 0.00339689 0.00315549 0.00347525 0.00321730 0.00684370 0.00339091 0.00326133 0.00348059 0.00346975 0.00337717
B11_nasal_ax_groin 0.00529011 0.00541113 0.00530657 0.00540795 0.00812267 0.00531473 0.00538601 0.00792165 0.00538615 0.00538698 0.00538574 0.00525543 0.00742458 0.00739785 0.00541875 0.00001067 0.00530138 0.00536905 0.00540681 0.00536756 0.00533500 0.00555375 0.00004075 0.00552528 0.00538270 0.00718768 0.00533326 0.00532405 0.00551395 0.00546067 0.00726840 0.00525300 0.00532544 0.00530436 0.00555762 0.00745117 0.00533870 0.00528735 0 0.00007851 0.00811048 0.00004075 0.00535043 0.00541507 0.00537354 0.00527706 0.00699085 0.00534955 0.00527673 0.00539374 0.00534840 0.00539678
